pH,TDS_mg_L,Turbidity_NTU,Hardness_mg_L,Nitrates_mg_L,Fluoride_mg_L,Iron_mg_L,Total_Coliform_MPN,Ecoli_MPN,Lead_ppb,Arsenic_ppb,potable_label
5.53,1320,7.2,370,46.45,1.72,1.28,23,7,12.5,35.1,0
4.15,841,5.1,457,18.2,2.86,0,,12,0,27.1,0
9.14,834,3.7,125,36.11,1.09,0.4,28,7,5.5,34.4,0
4.75,910,6.3,293,49.48,3.11,1.73,19,8,22.7,15.8,0
1.94,2067,9.2,87,0,1.1,0.55,,10,7.3,39.1,0
9.45,221,9.8,113,14.29,1.09,2.86,,11,6.4,26.2,0
7.44,1593,10.1,543,19.38,2.9,0,,8,5.8,21.8,0
8.46,1942,4.9,591,43.83,1.46,0.97,0,0,9.5,9.9,1
2.55,2155,1.7,539,56.35,0.81,2.95,,11,37.5,34.5,0
7.48,174,0.6,125,1.6,0.54,0.03,0,0,1,2.9,0
7.76,110,0.3,126,19.14,0.38,0.08,,0,3,1,1
8.52,1768,3.3,354,68.18,3.1,1.86,,7,26.2,4.9,0
8.42,1937,4.9,579,44.52,1.43,0.96,0,0,9.5,9.4,1
7.62,147,0.9,90,4.07,0.51,0.03,0,0,2.6,1.7,1
9.76,515,3.7,368,19.57,1.89,3.77,28,9,13.5,21.9,0
10.48,1426,7.7,361,59.35,1.83,3.38,26,4,15.5,16.7,0
5.29,1805,7.5,147,29.38,3.05,2.26,,10,5.1,14.3,0
7.65,133,0.2,71,14.51,0.3,0.12,0,0,2.4,0.1,1
10.51,1653,4.5,648,62.76,1.04,3.57,32,,6.6,24,0
8.26,1953,4.8,588,44.31,1.46,0.94,0,0,9.7,9.5,1
6.66,1213,2.8,108,31.29,0.93,2.29,27,8,28,12.2,0
10.39,948,6.1,369,65.39,2.79,3.32,33,8,8.8,24.4,0
7.54,1309,1.6,415,3.2,2.23,0.2,44,10,0,18.2,0
2.31,736,2.9,542,0,1.35,2.44,37,9,12.6,0,0
2.04,1658,3.7,398,9.34,1.2,3.55,28,11,0,24.9,0
11.18,1636,0,446,7.45,2.53,0.64,,8,17.4,20.1,0
5.14,1454,3.6,325,72.74,1.57,0.76,30,11,15.2,1.3,0
3.61,2001,12.6,125,13.86,2.34,2.92,,15,25.1,12.2,0
8.49,1595,0,266,48.8,2.53,3.48,19,,17,0,0
7.65,256,0.6,59,11.93,0.26,0.05,0,0,2.7,0.3,1
8.16,1999,0.2,199,36.03,1.96,3.56,27,11,1.3,6.1,0
6.82,604,9.8,242,49.26,2.26,0.49,25,8,6,14.5,0
5.48,2326,8,357,26.79,1.46,2.88,32,9,0,25.9,0
4.94,1808,2.5,460,61.7,1.91,1.91,30,9,2.9,12.8,0
9.26,1172,2.5,748,86.26,2.05,0.31,35,14,8.5,0,0
5.64,917,0,709,42.63,1.75,2.61,29,16,42.9,21,0
8.31,1981,4.7,561,43.84,1.44,0.94,0,0,9.4,9.5,1
3.31,1567,9,725,35.07,1.95,0.58,27,8,4.1,16.7,0
2.97,953,5,743,33.18,3.05,3.97,28,,11.9,35.3,0
4.62,2051,4.4,373,24.07,2.84,0.27,40,14,12.5,17.9,0
4.7,877,0,422,17.32,2.73,1.79,30,11,17.5,11.1,0
7.23,1036,10,456,74.69,0.56,2.38,36,7,21.8,0.6,0
8.21,149,0.3,120,8.33,0.6,0.08,0,0,0.5,3,1
6.53,658,10.9,138,50.48,2.47,0.74,19,,10.7,13.5,0
7.2,1509,0.3,134,36.13,0.7,2.73,29,,0,9.9,0
7.59,100,0.4,103,6.91,0.38,0.06,0,,0.3,2.8,1
11.78,1278,7.7,461,45.51,2.61,2.22,30,11,9.6,31.8,0
6.03,563,10.3,179,64.18,0.13,3.17,24,16,7.3,17.6,0
4.47,1497,4.5,496,36.62,2.6,3.06,35,6,30.4,18,0
5.7,1490,5.3,578,20.01,2.59,2.22,32,12,14.7,16.2,0
6.02,1707,3.9,127,74.47,1.41,0,20,9,32.5,17.9,0
9.76,2229,4.7,422,27.03,2.15,0.52,31,11,21.1,5.8,0
6.81,1580,5.7,700,73.47,1.96,0,34,7,11.1,16.9,0
10.56,1836,8.3,192,61.19,2.61,0,30,6,21.4,12.4,0
8.63,3019,3.5,744,34.49,1.81,0.37,35,12,23.1,17.8,0
3.27,1007,6.7,575,33.7,1.96,1.9,33,,21.7,16.3,0
8.39,1943,5,583,44.43,1.43,0.92,0,0,9.4,9.6,1
9.16,917,3.1,544,37.77,0.97,0.47,32,10,11.3,12.4,0
5.86,1928,1.3,500,39.9,3.01,2.85,,10,27,8,0
9.88,263,12.9,422,13.59,2.78,1.45,27,10,9.5,31.2,0
8.31,1151,4.9,306,65.02,2.55,3.49,26,21,24.4,26.7,0
6.81,1305,4.8,710,2.12,1.19,3.02,29,,8,4.1,0
7.49,205,0.3,56,0.75,0.44,0.08,,0,2.3,1.1,1
6.08,1537,13.9,38,13.62,3.33,2.89,36,9,15.8,0,0
4.51,2166,8.5,377,8.52,3.06,1.25,35,9,39.8,24.8,0
7.38,174,0.7,80,10.39,0.36,0.13,0,0,0.7,2.1,1
8.39,1944,4.7,582,44.42,1.47,0.96,0,0,9.3,9.6,1
8.41,1944,4.8,581,44.54,1.47,0.92,0,0,9.4,9.3,1
10.26,1264,10.5,329,21.88,1.39,2.5,31,20,17.4,12.1,0
8.4,1962,4.8,578,43.34,1.49,0.93,,0,9.5,9.6,1
8.41,1991,4.9,580,44.03,1.48,0.95,0,,10,9.4,1
8.21,1067,7.6,602,27.86,3.1,1.89,38,,12.5,0,0
7.35,142,0.2,122,15.52,0.25,0.13,0,0,2.1,1.3,1
4.07,1141,3.4,583,39.72,1.35,1.19,30,10,18.8,26.2,0
11.54,1087,5.1,158,59.46,2.04,1.19,23,,6.3,33.5,0
10.13,1327,9.6,727,45.34,1.31,1.65,,10,6.3,21.2,0
8.37,1950,4.8,590,44.57,1.47,0.97,0,0,9.4,9.8,1
11.52,509,4.6,379,37.57,3.33,0.67,31,13,25.1,4.8,0
5.88,1345,1.9,512,27.4,1.86,3.78,29,11,1.3,25.1,0
4.57,2597,4.7,636,46.98,1.27,2.62,19,,3.9,25.6,0
6.56,1880,5.7,146,16.49,1.92,0.51,26,7,21,17.5,0
6.85,1224,8.2,434,61.88,2.87,0,32,12,20.2,17.9,0
7.44,112,0.6,83,5.92,0.41,0.14,0,0,0.6,1.4,1
7.44,285,0.3,87,9.63,0.25,0.16,0,0,3.4,3.2,1
10.59,1551,3.7,496,26.37,4.18,0,33,7,22.1,25.3,0
8.41,1930,4.9,587,44.5,1.45,0.98,0,0,9.7,9.4,1
8.18,552,9.5,0,0,2.96,1.88,36,7,21.1,26.5,0
9.5,1728,7.4,756,85.13,4.53,0.82,35,10,13.7,17.3,0
3.82,1574,11.9,237,30.65,1.85,4.23,29,12,20.3,21.1,0
10.94,1987,7.8,486,59.61,2.07,2.19,38,6,15.6,21.6,0
8.41,1949,4.7,565,43.54,1.46,1,0,0,9.5,9.8,1
8.39,1958,4.8,591,44.19,1.45,0.96,0,0,9.8,9.3,1
3.19,976,1.6,175,48.21,2.67,1.81,30,15,10.3,8.5,0
10.34,1077,4.7,117,55.87,1.61,2.26,20,7,12.4,12.3,0
6.68,839,10.3,693,33.79,0.43,2.86,30,8,17.9,30.1,0
4.48,927,14.6,73,89.53,1.4,2.81,35,,29.8,38.9,0
8.32,2493,1.6,597,52.19,2.92,2.55,20,10,24.5,15.9,0
8.48,1686,0,378,49.09,2.71,1.19,34,6,36.4,14.4,0
