pH,TDS_mg_L,Turbidity_NTU,Hardness_mg_L,Nitrates_mg_L,Fluoride_mg_L,Iron_mg_L,Total_Coliform_MPN,Ecoli_MPN,Lead_ppb,Arsenic_ppb,potable_label
6.998234183,278.5188718,,202.2518085,78.77291797,0.980445843,3.043928032,130.3675062,56.09822336,8.239031153,15.77287218,0
7.711319666,1235.548098,0,142.4522991,32.16644044,0.325097923,1.332025078,52.10514709,0,6.868160344,5.559778062,0
6.33430313,343.2462978,1.053869732,,24.00566101,0.3810434,0.065338636,12.95360146,12.87544554,19.90009005,19.83222226,0
6.437018694,273.6661742,0.931460426,0,15.79901845,0.492471069,0,0,0,14.55325331,0,0
5.776891572,741.3181781,0,,21.29606957,1.502757522,0.50154523,169.1667287,0,0,7.283419652,0
7.326171698,446.2763803,1.654537477,0,2.727627541,0.837694562,0,153.7425582,9.327708949,11.2661336,12.54824911,1
8.307449766,675.4925417,0,381.0224851,27.71914775,0.581871646,0.003902095,82.56668351,,11.22255748,23.95214634,0
5.149482567,634.1944629,5.161096708,232.2208666,33.59503088,0.172185613,0.743864253,184.3555653,90.93283003,20.673112,,0
6.936957132,336.4491527,3.606447153,231.0209782,22.95485527,0.156209157,0.554598438,0,8.878463083,16.60271256,0,1
6.887903675,,5.211617487,211.4634742,20.98736118,0,1.435342129,106.1334823,0,0,74.01969864,0
7.703463161,0,1.267447311,389.5926471,9.800323531,0.030271968,1.403136424,0,10.30095569,50.03821739,12.03521908,0
8.230245001,806.0729767,1.341662166,177.9470612,39.29397945,1.377424466,0.493289474,16.91479931,0,26.5238644,1.661557585,0
7.351204551,821.4539994,0,682.1625932,15.59665115,1.568504904,0.83106828,230.7494206,0,0,34.66884572,0
7.849132832,615.3094108,0,0,1.769193617,,0,5.76443831,0,9.069121931,14.76061848,0
7.435265678,715.8037079,1.125395497,138.4988037,34.3511315,0.792844965,0,0,50.74184936,19.48043329,27.37794289,0
6.771334219,346.6820022,6.293521983,527.9452058,71.57139872,0.798897869,0.212223239,291.2845975,2.419926813,17.54689063,0,0
8.245863184,,,498.6326829,19.42390394,,0.700131908,179.7473908,67.23035486,6.653462431,54.64368342,0
,331.5503328,2.403425468,228.9628205,10.25162428,0,1.044589553,0,,9.207982655,33.43029402,0
7.00437507,199.1051237,0,0,46.20232175,0.445225429,0,0,,22.0299042,45.95550083,1
9.87290086,1858.346324,2.078826445,321.9924463,30.56315018,0.878070106,1.290322138,0,42.98149079,0,15.08198098,0
6.909898143,367.3415692,0.786717253,0,26.71325208,0,0.510158512,7.885815238,24.4904258,7.628127139,0,1
7.26088106,0,1.148317619,0,23.97745683,0.726235488,0.578992291,48.15162758,0,0,20.04829483,1
8.620891952,1437.266783,0.82056195,337.4050209,20.41747808,1.593165179,0.582571816,20.13654892,0,0,27.18260059,0
6.344746097,472.7424493,1.642876612,345.1467425,31.94775745,1.217686342,2.56713612,0,23.62875401,0,7.571033574,0
7.627053814,513.4921076,0,173.7220478,0,1.342806306,0.690580484,82.12558612,0.24669478,,28.40840729,0
7.062221469,125.1272168,0,29.76841522,37.50940883,1.039036261,0.665594425,0,36.16799963,8.023255671,0,1
7.524257991,236.0355098,2.249140788,386.6481606,25.19507348,0.702930244,0.19134118,0,0,0.81227604,97.74194305,0
6.380737601,191.3864911,1.697813777,431.1314275,32.1752461,0.970040299,1.13818649,179.2318924,75.36042224,7.709794894,34.84198078,0
6.942222463,834.325415,2.490795056,238.1164172,22.69956466,0.827331104,0.518868351,68.47671767,25.74337249,0,32.74836672,0
9.019718951,0,3.31768128,0,34.11713349,0.488913066,0.493364123,59.03159413,33.64976951,5.363916527,0,0
7.197715029,157.1329024,1.304116533,429.0536333,4.297870961,1.365734137,0.80322764,28.34135551,21.39440875,0,19.70862532,0
7.113624729,344.8732726,0.517683565,280.6246378,0,0.9359299,1.121622394,0,77.16968343,0,0,0
7.084271449,0,3.716746357,116.8557716,11.96935841,0.456788768,0.979339074,164.994162,0,7.632741321,0,0
8.363421091,338.4414722,1.16231085,,7.84747883,0.183771211,,55.63202232,106.4950099,35.60190998,14.28131265,0
,269.0901015,1.992211998,360.7742007,78.96350064,1.221881238,0.414014934,,28.52623043,0,0,0
6.480767398,942.0188427,0.554087682,750.2511143,0,0.750054264,0.436178267,297.6099256,64.42007139,4.105566703,0,0
