pH,TDS_mg_L,Turbidity_NTU,Hardness_mg_L,Nitrates_mg_L,Fluoride_mg_L,Iron_mg_L,Total_Coliform_MPN,Ecoli_MPN,Lead_ppb,Arsenic_ppb,potable_label
4.24,647.0,1.1,478.0,42.04,1.75,2.95,,2.0,1.3,5.5,0
7.69,258.0,0.5,116.0,28.1,0.56,0.34,0.0,0.0,1.9,5.3,1
7.56,1955.0,8.2,474.0,44.05,2.14,0.73,16.0,5.0,13.3,4.2,0
8.04,1346.0,8.5,110.0,75.77,3.41,1.6,23.0,3.0,8.4,21.3,0
7.38,1297.0,5.5,263.0,47.27,1.23,1.52,21.0,8.0,26.9,25.9,0
7.32,261.0,1.3,188.0,13.24,0.72,0.38,0.0,0.0,0.3,2.6,1
7.42,1047.0,4.9,460.0,57.83,2.33,2.09,23.0,3.0,7.2,7.2,0
5.21,880.0,5.7,629.0,24.99,1.44,2.02,22.0,5.0,6.3,13.7,0
7.25,392.0,1.6,209.0,37.87,0.48,0.29,0.0,0.0,2.7,2.5,1
7.66,1231.0,5.0,501.0,18.07,1.02,0.66,23.0,2.0,7.7,0.8,0
8.25,1228.0,1.4,333.0,45.41,2.34,2.3,21.0,7.0,21.4,8.5,0
6.39,766.0,4.2,364.0,53.19,1.83,0.39,21.0,6.0,19.3,18.2,0
7.36,161.0,1.5,142.0,19.13,0.77,0.42,0.0,0.0,2.4,4.4,1
9.41,914.0,3.0,188.0,41.68,1.75,2.56,20.0,8.0,12.2,13.4,0
8.17,1056.0,9.8,423.0,25.9,2.52,0.8,18.0,9.0,6.9,9.6,0
7.16,237.0,1.4,142.0,16.0,0.65,0.36,0.0,,2.1,3.8,1
4.37,1562.0,6.1,191.0,57.97,1.42,2.43,21.0,9.0,10.2,7.0,0
5.35,840.0,7.2,481.0,61.21,0.92,2.99,17.0,4.0,19.4,3.8,0
10.87,1398.0,8.0,524.0,47.64,1.32,2.79,23.0,7.0,11.2,20.0,0
7.66,996.0,0.4,472.0,43.34,1.97,1.12,15.0,6.0,23.8,14.2,0
7.41,1017.0,8.3,31.0,29.12,1.13,0.4,16.0,11.0,27.1,22.3,0
7.6,1241.0,0.0,689.0,32.64,2.01,1.11,19.0,3.0,14.5,18.5,0
7.47,106.0,0.7,110.0,28.56,0.57,0.1,0.0,,4.3,0.0,1
4.28,574.0,10.6,184.0,37.16,2.53,2.14,14.0,8.0,5.0,20.8,0
6.91,468.0,1.5,95.0,0.0,0.84,0.29,0.0,0.0,3.8,1.5,1
5.04,1326.0,0.3,350.0,55.77,2.38,0.97,24.0,9.0,14.5,4.9,0
9.37,2357.0,5.2,763.0,53.39,1.98,0.0,29.0,8.0,5.6,17.9,0
6.57,278.0,3.8,500.0,53.18,3.34,1.95,29.0,4.0,14.0,7.8,0
10.24,1163.0,5.3,441.0,49.15,0.95,0.0,24.0,11.0,3.8,12.5,0
10.04,1214.0,0.2,79.0,44.33,1.14,1.41,14.0,9.0,22.5,20.3,0
3.67,1651.0,2.3,472.0,60.88,2.63,1.56,8.0,9.0,21.3,14.3,0
8.32,877.0,3.4,439.0,48.62,2.2,0.88,29.0,12.0,6.3,16.5,0
7.47,330.0,0.9,45.0,11.3,0.71,0.25,0.0,0.0,2.0,2.8,1
8.84,934.0,1.8,374.0,69.79,2.17,3.04,16.0,,15.1,22.2,0
8.7,734.0,0.8,312.0,36.3,1.6,0.17,26.0,6.0,12.4,12.9,0
3.64,0.0,2.9,0.0,25.37,1.62,1.72,15.0,11.0,0.0,13.0,0
4.59,743.0,10.1,685.0,42.72,1.06,2.15,18.0,10.0,13.5,16.0,0
10.1,1183.0,2.6,383.0,61.26,1.5,0.43,,10.0,8.0,20.3,0
8.11,728.0,5.0,678.0,70.92,0.31,2.37,17.0,6.0,4.1,11.0,0
8.34,419.0,0.0,158.0,36.26,2.04,2.13,20.0,7.0,7.7,13.7,0
7.25,224.0,2.0,183.0,24.42,0.64,0.28,0.0,0.0,4.2,1.9,1
7.26,417.0,2.8,187.0,15.08,0.72,0.13,0.0,0.0,1.5,2.7,1
7.32,222.0,2.5,140.0,42.01,0.9,0.15,0.0,0.0,4.0,5.2,1
8.2,1203.0,3.5,501.0,27.25,1.13,2.59,23.0,7.0,25.2,5.8,0
6.94,372.0,0.3,170.0,18.64,1.06,0.1,0.0,0.0,3.1,3.1,1
6.02,1027.0,6.2,268.0,30.15,3.49,2.15,27.0,3.0,16.5,25.3,0
5.51,1700.0,3.9,589.0,37.23,2.76,0.49,18.0,9.0,2.6,18.0,0
8.32,1516.0,2.9,154.0,47.48,1.94,1.59,17.0,6.0,20.0,0.0,0
7.2,189.0,2.8,159.0,21.26,0.86,0.32,0.0,,2.2,3.7,1
1.71,837.0,6.0,300.0,59.65,2.32,2.92,28.0,10.0,19.5,17.0,0
7.15,348.0,1.0,146.0,14.94,0.83,0.22,0.0,0.0,3.7,4.8,1
10.39,1503.0,6.1,402.0,59.05,2.84,2.54,24.0,5.0,2.7,15.3,0
7.43,339.0,1.1,157.0,28.17,0.8,0.11,,0.0,2.6,4.5,1
7.03,1101.0,3.4,414.0,57.67,1.29,2.36,23.0,12.0,20.7,33.7,0
3.88,204.0,5.4,649.0,63.54,1.53,0.09,17.0,7.0,6.2,4.1,0
5.8,403.0,1.3,654.0,51.07,0.48,2.44,21.0,9.0,13.1,19.3,0
6.74,1105.0,9.7,753.0,32.19,1.9,2.97,15.0,11.0,7.2,11.3,0
7.18,168.0,2.1,116.0,24.64,0.71,0.09,0.0,0.0,3.5,3.5,1
8.22,960.0,5.5,179.0,61.93,2.42,0.65,15.0,9.0,9.2,11.2,0
9.62,1585.0,5.9,162.0,25.03,0.61,3.11,17.0,6.0,11.6,15.1,0
6.85,398.0,2.3,145.0,17.8,1.29,0.3,0.0,,2.4,2.3,1
6.89,151.0,3.3,337.0,22.84,2.54,2.23,17.0,11.0,4.1,16.5,0
5.83,989.0,2.1,514.0,55.22,1.52,2.13,19.0,10.0,16.3,9.3,0
9.35,1151.0,6.5,463.0,46.65,1.39,2.65,21.0,10.0,12.1,5.9,0
5.88,1368.0,9.3,453.0,28.07,1.09,0.93,15.0,6.0,2.8,15.4,0
6.18,1086.0,5.8,0.0,44.87,1.43,2.65,25.0,8.0,28.2,14.0,0
6.11,1785.0,5.7,617.0,62.54,2.72,2.11,20.0,7.0,9.7,4.1,0
5.61,867.0,9.1,643.0,45.92,2.47,0.47,22.0,5.0,14.6,13.9,0
8.15,410.0,1.7,158.0,22.56,0.92,0.08,0.0,0.0,1.9,3.3,1
7.05,427.0,2.2,151.0,20.14,0.69,0.17,,0.0,3.9,4.4,1
8.27,848.0,0.0,651.0,36.97,1.77,1.66,24.0,6.0,0.0,11.5,0
